id,sleep_day,total_sleep_records,total_minutes_asleep,total_hours_asleep,total_time_in_bed,total_hours_in_bed
1503960366,2016-04-12,1,327,5.0,346,6.0
1503960366,2016-04-12,1,327,5.0,346,6.0
1503960366,2016-04-12,1,327,5.0,346,6.0
1503960366,2016-04-12,1,327,5.0,346,6.0
1503960366,2016-04-12,1,327,5.0,346,6.0
1503960366,2016-04-12,1,327,5.0,346,6.0
1503960366,2016-04-12,1,327,5.0,346,6.0
1503960366,2016-04-12,1,327,5.0,346,6.0
1503960366,2016-04-12,1,327,5.0,346,6.0
1503960366,2016-04-12,1,327,5.0,346,6.0
1503960366,2016-04-12,1,327,5.0,346,6.0
1503960366,2016-04-12,1,327,5.0,346,6.0
1503960366,2016-04-12,1,327,5.0,346,6.0
1503960366,2016-04-12,1,327,5.0,346,6.0
1503960366,2016-04-12,1,327,5.0,346,6.0
1503960366,2016-04-12,1,327,5.0,346,6.0
1503960366,2016-04-12,1,327,5.0,346,6.0
1503960366,2016-04-12,1,327,5.0,346,6.0
1503960366,2016-04-12,1,327,5.0,346,6.0
1503960366,2016-04-12,1,327,5.0,346,6.0
1503960366,2016-04-12,1,327,5.0,346,6.0
1503960366,2016-04-12,1,327,5.0,346,6.0
1503960366,2016-04-12,1,327,5.0,346,6.0
1503960366,2016-04-12,1,327,5.0,346,6.0
1503960366,2016-04-12,1,327,5.0,346,6.0
1503960366,2016-04-12,1,327,5.0,346,6.0
1503960366,2016-04-12,1,327,5.0,346,6.0
1503960366,2016-04-12,1,327,5.0,346,6.0
1503960366,2016-04-12,1,327,5.0,346,6.0
1503960366,2016-04-12,1,327,5.0,346,6.0
1503960366,2016-04-12,1,327,5.0,346,6.0
1503960366,2016-04-13,2,384,6.0,407,7.0
1503960366,2016-04-13,2,384,6.0,407,7.0
1503960366,2016-04-13,2,384,6.0,407,7.0
1503960366,2016-04-13,2,384,6.0,407,7.0
1503960366,2016-04-13,2,384,6.0,407,7.0
1503960366,2016-04-13,2,384,6.0,407,7.0
1503960366,2016-04-13,2,384,6.0,407,7.0
1503960366,2016-04-13,2,384,6.0,407,7.0
